,mean,standard_error,min,max
tabula_rasa,0.5002538586411482,8.195055626253477e-06,0.5000942488245909,0.5003764623680408
fine_tuned,0.21290850214654156,0.004621732594170721,0.1585920256101188,0.3146393164445997
joint_loss,0.20071617084325435,0.004369237600260429,0.15372288724486735,0.3023575651090652
