,train_loss
0,53.15256118774414
1,43.83115005493164
2,18.81087875366211
3,20.494169235229492
4,50.87584686279297
5,18.075756072998047
6,23.29250717163086
7,9.385211944580078
8,21.047258377075195
9,14.292684555053711
10,14.21053695678711
11,17.58561897277832
12,13.684497833251953
13,14.658417701721191
14,15.091174125671387
15,18.30881118774414
16,20.625274658203125
17,18.436328887939453
18,28.371353149414062
19,11.719707489013672
20,7.2629547119140625
21,15.809486389160156
22,16.009288787841797
23,11.435750961303711
24,19.35635757446289
25,22.699237823486328
26,23.971248626708984
27,19.94586181640625
28,29.708826065063477
29,9.725898742675781
30,24.10565185546875
31,20.001434326171875
32,6.998462677001953
33,21.568801879882812
34,21.30910873413086
35,15.341056823730469
36,20.447240829467773
37,8.312088966369629
38,22.23834991455078
39,12.168794631958008
40,7.772198677062988
41,20.0223388671875
42,14.7501802444458
43,15.552903175354004
44,13.914034843444824
45,17.882884979248047
46,7.239169120788574
47,16.272024154663086
48,12.901837348937988
49,23.33373260498047
50,17.832965850830078
51,14.67066478729248
52,15.20810317993164
53,4.330534934997559
54,10.47885513305664
55,27.823972702026367
56,19.22161865234375
57,23.37129020690918
58,4.441686630249023
59,11.263219833374023
60,15.89901351928711
61,17.000226974487305
62,10.24234676361084
63,14.715785026550293
64,8.484743118286133
65,10.336687088012695
66,15.872607231140137
67,12.71394157409668
68,23.5072021484375
69,16.012771606445312
70,10.617414474487305
71,10.967799186706543
72,17.773479461669922
73,10.89238166809082
74,18.9498291015625
75,13.247297286987305
76,14.385178565979004
77,6.492634296417236
78,10.471155166625977
79,24.74491310119629
80,22.40567398071289
81,14.640386581420898
82,16.034564971923828
83,11.662717819213867
84,16.928892135620117
85,26.29900360107422
86,11.125810623168945
87,18.369274139404297
88,12.986059188842773
89,15.634316444396973
90,14.027899742126465
91,7.7396159172058105
92,8.665486335754395
93,20.29168128967285
94,21.449161529541016
95,13.204980850219727
96,16.837543487548828
97,16.858646392822266
98,11.599769592285156
99,19.899394989013672
100,15.009861946105957
101,14.76934814453125
102,13.241873741149902
103,16.40433692932129
104,13.781503677368164
105,16.34628677368164
106,12.116790771484375
107,12.392593383789062
108,16.601980209350586
109,4.590353012084961
110,15.670984268188477
111,18.27280044555664
112,6.175577163696289
113,15.663476943969727
114,11.262014389038086
115,10.182121276855469
116,17.54397201538086
117,14.966873168945312
118,15.569334030151367
119,16.167600631713867
120,21.523971557617188
121,12.973662376403809
122,9.948074340820312
123,14.562338829040527
124,13.1292724609375
125,10.378369331359863
126,4.29170560836792
127,20.004091262817383
128,12.245976448059082
129,8.976040840148926
130,20.369625091552734
131,8.516122817993164
132,6.147809028625488
133,16.728837966918945
134,9.846456527709961
135,9.586244583129883
136,19.208614349365234
137,15.782037734985352
138,15.715682983398438
139,15.032051086425781
140,8.369890213012695
141,7.695950031280518
