,obj_x,obj_y,start_push_x_1,start_push_y_1,end_push_x_1,end_push_y_1,start_push_x_2,start_push_y_2,end_push_x_2,end_push_y_2
0,0.6000000238418579,0.0,0.6056448762331871,-0.05973387348464944,0.5913685122084987,0.09133872564681055,0.6023230334544297,0.07458861790484153,0.5912257842979135,0.22422553013369434
1,0.6000000238418579,0.0,0.6008871359282221,-0.059993441576110855,0.5986351093388594,0.0923061693676558,0.5894866480921996,0.0745845209513318,0.6085466779117744,0.2251296913810622
2,0.6000000238418579,0.0,0.6043949563134446,0.05983882158407026,0.5932442490035053,-0.09198266590621434,0.5907418698800864,-0.07440741016960331,0.5879492749876168,-0.22582684176351225
3,0.6000000238418579,0.0,0.602418946177024,-0.059951220293972624,0.5964248330470269,0.08860848809318458,0.6053088848359967,0.07139076564457678,0.5894513274767961,0.21735364410787916
4,0.6000000238418579,0.0,0.6160243615988269,-0.05782058975356942,0.5755882570158775,0.0880849353160284,0.6174453127813282,0.0763291732337843,0.5462439138056732,0.2054153605273354
5,0.6000000238418579,0.0,0.5965449678637108,-0.05990043896490133,0.6052045099455281,0.09023037663307484,0.5864489041919702,0.07584338320211459,0.625583845199899,0.22045272827985252
6,0.6000000238418579,0.0,0.5931209887939956,0.05960435283442209,0.6103446521201626,-0.08963246582565626,0.603422370957971,-0.07357524588062857,0.6464037695621274,-0.21766770139499403
7,0.6000000238418579,0.0,0.5840743371665532,-0.05784783923293957,0.6233946205092277,0.08497761475064196,0.5784776582695172,0.06894962860447634,0.6498166700852692,0.1987736292536777
8,0.6000000238418579,0.0,0.6126088711545389,-0.05866018214637163,0.5804754592529009,0.09083419655379181,0.616198874186988,0.07516756448478773,0.5574439932066015,0.21164099765877686
9,0.6000000238418579,0.0,0.5737923337907151,-0.05397366934147828,0.6387285383542014,0.07975979692589222,0.5802695531843871,0.07050856245198384,0.6768694852222861,0.1809846868741291
