,action_1_error,action_2_error,state_error
0,0.009584436007304164,0.027721632778934885,0.03787293723066575
1,0.013841587914895492,0.03883221827180904,0.04591853757386779
2,0.007802141103683539,0.012591378167406977,0.01573492040995242
3,0.011410261531931894,0.021972499175742635,0.03327749094014477
4,0.026094570772953202,0.0506806535332531,0.017893202390233422
5,0.02790225895161824,0.04787737560095642,0.059084984840274204
6,0.03459887946557996,0.022542064793605918,0.0015126318972023026
7,0.02280491804915268,0.021342453044930945,0.00835766000403589
8,0.021534374930421138,0.0545359619986993,0.05659401570505603
9,0.013206022830743527,0.04027286019962954,0.034356345531480106
