,loss
0,33.412803649902344
1,26.142959594726562
2,9.755535125732422
3,10.547995567321777
4,28.601863861083984
5,9.43745231628418
6,12.997846603393555
7,6.017977714538574
8,12.581319808959961
9,10.027623176574707
10,9.926578521728516
11,12.112954139709473
12,9.665617942810059
13,9.637754440307617
14,9.619173049926758
15,11.146671295166016
16,12.260881423950195
17,10.613133430480957
18,17.008970260620117
19,5.557933807373047
20,2.5370736122131348
21,8.719989776611328
22,9.256269454956055
23,6.186797142028809
24,11.40394115447998
25,14.528358459472656
26,15.155604362487793
27,12.46728515625
28,18.99549102783203
29,5.6864447593688965
30,14.783811569213867
31,11.840517044067383
32,3.7185006141662598
33,12.580283164978027
34,12.300716400146484
35,8.764457702636719
36,11.980730056762695
37,4.929592132568359
38,12.72526741027832
39,6.996291160583496
40,4.704078674316406
41,11.729047775268555
42,8.45097541809082
43,8.958661079406738
44,7.8862409591674805
45,10.292949676513672
46,3.7858216762542725
47,9.248851776123047
48,7.073977947235107
49,13.51957893371582
50,10.129196166992188
51,8.211973190307617
52,8.617728233337402
53,1.7518819570541382
54,5.543926239013672
55,16.39510726928711
56,11.068658828735352
57,13.478222846984863
58,1.8586101531982422
59,6.005865097045898
60,8.750188827514648
61,9.446199417114258
62,5.423972129821777
63,8.001014709472656
64,4.435872554779053
65,5.516900062561035
66,8.663857460021973
67,6.826450824737549
68,13.047235488891602
69,8.689233779907227
70,5.534531116485596
71,5.720541954040527
72,9.633461952209473
73,5.605868816375732
74,10.277331352233887
75,6.979450225830078
76,7.589166641235352
77,3.036484718322754
78,5.365142345428467
79,13.500568389892578
80,12.295804977416992
81,7.573376655578613
82,8.417845726013184
83,5.912341117858887
84,8.934172630310059
85,14.215946197509766
86,5.618766784667969
87,9.5833740234375
88,6.69849967956543
89,8.04633617401123
90,7.119921684265137
91,3.6275410652160645
92,4.068958282470703
93,10.607330322265625
94,11.271484375
95,6.588820457458496
96,8.575029373168945
97,8.516897201538086
98,5.6279144287109375
99,10.162782669067383
100,7.410839080810547
101,7.264712810516357
102,6.430341720581055
103,8.104656219482422
104,6.806499004364014
105,7.902632713317871
106,5.57209587097168
107,5.894073009490967
108,8.093045234680176
109,1.7229526042938232
110,7.351264476776123
111,8.779773712158203
112,2.4222254753112793
113,7.299549102783203
114,5.051830291748047
115,4.618857383728027
116,8.169744491577148
117,6.788494110107422
118,7.0091142654418945
119,7.400008201599121
120,10.017521858215332
121,5.639964580535889
122,4.137439250946045
123,6.4802751541137695
124,5.5721211433410645
125,4.361555099487305
126,1.3543627262115479
127,9.006473541259766
128,5.090422630310059
129,3.601936101913452
130,8.934462547302246
131,3.1549408435821533
132,2.0768301486968994
133,7.074517726898193
134,3.7943477630615234
135,3.617509603500366
136,7.923582553863525
137,6.542224884033203
138,6.379528999328613
139,6.044189453125
140,3.109712600708008
141,2.7890443801879883
142,5.131783485412598
143,4.139706134796143
144,2.634716033935547
145,4.580255508422852
146,5.0158233642578125
147,4.142339706420898
148,1.7061781883239746
149,3.951732635498047
150,4.160665988922119
151,3.460111618041992
152,5.526026725769043
153,6.631161689758301
154,1.9884746074676514
155,1.8983113765716553
156,4.136385440826416
157,3.9783623218536377
158,2.2347867488861084
159,1.7931478023529053
160,5.656909942626953
161,3.757594347000122
162,3.299442768096924
163,2.194720983505249
164,1.824632167816162
165,3.551771640777588
166,1.9925051927566528
167,3.9505434036254883
