,action_1_error,action_2_error,state_error
0,0.10331862423814667,0.11932318024476588,0.055906210948988816
1,0.08756921695521515,0.11209674649223364,0.05577997876399997
2,0.08959754741423562,0.11166105313351722,0.028327632920960803
3,0.09142009439443102,0.093089891746677,0.027203006540641738
4,0.07075964833880874,0.0844006274418859,0.060900991833608004
5,0.1194513612919579,0.10794365755477,0.020253601313727002
6,0.08254638367374244,0.09601666211941517,0.03648065853654674
7,0.10449200635829914,0.06275129997836633,0.023611156015394506
8,0.08389599258180708,0.11757433562647603,0.10503437464942929
9,0.1124246596371267,0.04851464883526945,0.030614483108410095
