,obj_x,obj_y,start_push_x,start_push_y,end_push_x,end_push_y
0,0.5277029871940613,-0.18389299511909485,0.5603219866752625,-0.23425200581550598,0.4838719964027405,-0.1162249967455864
1,0.4187740087509155,-0.06753700226545334,0.3688279986381531,-0.10078500211238861,0.47452300786972046,-0.030426999554038048
2,0.45200300216674805,-0.05977199971675873,0.4868910014629364,-0.010958000086247921,0.40928998589515686,-0.11953400075435638
3,0.6358420252799988,0.132191002368927,0.666375994682312,0.18384100496768951,0.6049330234527588,0.07990700006484985
4,0.4659520089626312,0.14290200173854828,0.4330269992351532,0.1930609941482544,0.5174049735069275,0.06451699882745743
5,0.6037129759788513,-0.00965800043195486,0.6130170226097107,-0.06893199682235718,0.592274010181427,0.06321600079536438
6,0.5867930054664612,0.08735500276088715,0.5764179825782776,0.028258999809622765,0.6028370261192322,0.17874200642108917
7,0.7496610283851624,0.0760829970240593,0.8032019734382629,0.10316400229930878,0.6621419787406921,0.03181599825620651
8,0.7346810102462769,0.1940069943666458,0.7661020159721375,0.1428930014371872,0.6858959794044495,0.2733669877052307
9,0.5735809803009033,-0.06426099687814713,0.5253819823265076,-0.0285279992967844,0.6432080268859863,-0.11588100343942642
